"order_id","customer_id","employee_id","order_date","ship_city"
10489,"PICCO",6,"1997-03-28","Salzburg"
10490,"HILAA",7,"1997-03-31","San Cristóbal"
10491,"FURIB",8,"1997-03-31","Lisboa"
10492,"BOTTM",3,"1997-04-01","Tsawassen"
10493,"LAMAI",4,"1997-04-02","Toulouse"
10494,"COMMI",4,"1997-04-02","Sao Paulo"
10495,"LAUGB",3,"1997-04-03","Vancouver"
10496,"TRADH",7,"1997-04-04","Sao Paulo"
10497,"LEHMS",7,"1997-04-04","Frankfurt a.M."
10498,"HILAA",8,"1997-04-07","San Cristóbal"
10499,"LILAS",4,"1997-04-08","Barquisimeto"
10500,"LAMAI",6,"1997-04-09","Toulouse"
10501,"BLAUS",9,"1997-04-09","Mannheim")
10502,"PERIC",2,"1997-04-10","México D.F."
10503,"HUNGO",6,"1997-04-11","Cork"
10504,"WHITC",4,"1997-04-11","Seattle"
10505,"MEREP",3,"1997-04-14","Montréal"
10506,"KOENE",9,"1997-04-15","Brandenburg"
10507,"ANTON",7,"1997-04-15","México D.F."
10508,"OTTIK",1,"1997-04-16","Köln"
10509,"BLAUS",4,"1997-04-17","Mannheim"
10510,"SAVEA",6,"1997-04-18","Boise"
10511,"BONAP",4,"1997-04-18","Marseille"
10512,"FAMIA",7,"1997-04-21","Sao Paulo"
10513,"WANDK",7,"1997-04-22","Stuttgart"
10514,"ERNSH",3,"1997-04-22","Graz"
10515,"QUICK",2,"1997-04-23","Cunewalde"
10516,"HUNGO",2,"1997-04-24","Cork"
10517,"NORTS",3,"1997-04-24","London"
10518,"TORTU",4,"1997-04-25","México D.F."
10519,"CHOPS",6,"1997-04-28","Bern"
10520,"SANTG",7,"1997-04-29","Stavern"
10521,"CACTU",8,"1997-04-29","Buenos Aires"
10522,"LEHMS",4,"1997-04-30","Frankfurt a.M."
10523,"SEVES",7,"1997-05-01","London"
10524,"BERGS",1,"1997-05-01","Luleå"
10525,"BONAP",1,"1997-05-02","Marseille"
10526,"WARTH",4,"1997-05-05","Oulu"
10527,"QUICK",7,"1997-05-05","Cunewalde"
10528,"GREAL",6,"1997-05-06","Eugene"
10529,"MAISD",5,"1997-05-07","Bruxelles"
10530,"PICCO",3,"1997-05-08","Salzburg"
10531,"OCEAN",7,"1997-05-08","Buenos Aires"
10532,"EASTC",7,"1997-05-09","London"
10533,"FOLKO",8,"1997-05-12","Bräcke"
10534,"LEHMS",8,"1997-05-12","Frankfurt a.M."
10535,"ANTON",4,"1997-05-13","México D.F."
10536,"LEHMS",3,"1997-05-14","Frankfurt a.M."
10537,"RICSU",1,"1997-05-14","Genève"
10538,"BSBEV",9,"1997-05-15","London"
10539,"BSBEV",6,"1997-05-16","London"
10540,"QUICK",3,"1997-05-19","Cunewalde"
10541,"HANAR",2,"1997-05-19","Rio de Janeiro"
10542,"KOENE",1,"1997-05-20","Brandenburg"
10543,"LILAS",8,"1997-05-21","Barquisimeto"
10544,"LONEP",4,"1997-05-21","Portland"
10545,"LAZYK",8,"1997-05-22","Walla Walla"
10546,"VICTE",1,"1997-05-23","Lyon"
10547,"SEVES",3,"1997-05-23","London"
10548,"TOMSP",3,"1997-05-26","Münster"
10549,"QUICK",5,"1997-05-27","Cunewalde"
10550,"GODOS",7,"1997-05-28","Sevilla"

